      0.0	     47.7	     61.1
     33.4	     56.0	     71.8
     66.7	     64.0	     82.0
    100.1	     71.3	     91.4
    133.5	     77.8	     99.7
    166.8	     83.1	    106.6
    200.2	     87.3	    112.0
    233.6	     90.4	    115.9
    266.9	     92.5	    118.6
    300.3	     93.7	    120.3
    333.7	     94.5	    121.4
    367.0	     95.0	    122.2
    400.4	     94.9	    122.2
    433.8	     94.8	    122.1
    467.2	     94.6	    122.1
    500.5	     94.4	    122.1
    533.9	     94.2	    122.2
    567.3	     93.9	    122.2
    600.6	     93.5	    122.3
    634.0	     93.1	    122.4
    667.4	     92.7	    122.5
    700.7	     92.2	    122.7
    734.1	     91.7	    122.8
    767.5	     91.2	    123.0
    800.8	     90.7	    123.1
    834.2	     90.2	    123.3
    867.6	     89.8	    123.4
    900.9	     89.5	    123.4
    934.3	     89.2	    123.5
    967.7	     89.1	    123.5
   1001.0	     89.0	    123.5
   1034.4	     89.0	    123.4
   1067.8	     89.1	    123.4
   1101.1	     89.3	    123.3
   1134.5	     89.6	    123.1
   1167.9	     90.0	    123.0
   1201.2	     90.4	    122.9
   1234.6	     90.9	    122.8
   1268.0	     91.4	    122.6
   1301.4	     91.9	    122.5
   1334.7	     92.5	    122.4
   1368.1	     93.0	    122.2
   1401.5	     93.6	    122.1
   1434.8	     94.0	    122.0
   1468.2	     94.5	    121.9
   1501.6	     94.8	    121.8
   1534.9	     95.1	    121.7
   1568.3	     95.4	    121.6
   1601.7	     95.6	    121.6
   1635.0	     95.7	    121.5
   1668.4	     95.8	    121.4
   1701.8	     95.8	    121.3
   1735.1	     95.9	    121.3
   1768.5	     95.9	    121.2
   1801.9	     95.9	    121.1
   1835.2	     95.9	    121.0
   1868.6	     95.8	    121.0
   1902.0	     95.8	    120.9
   1935.3	     95.7	    120.9
   1968.7	     95.7	    121.0
   2002.1	     95.6	    121.1
   2035.4	     95.4	    121.2
   2068.8	     95.2	    121.4
   2102.2	     95.0	    121.5
   2135.6	     94.8	    121.7
   2168.9	     94.6	    121.9
   2202.3	     94.4	    122.1
   2235.7	     94.3	    122.2
   2269.0	     94.1	    122.3
   2302.4	     94.0	    122.3
   2335.8	     93.9	    122.3
   2369.1	     93.9	    122.3
   2402.5	     93.9	    122.2
   2435.9	     93.9	    122.1
   2469.2	     93.9	    122.0
   2502.6	     93.9	    121.9
   2536.0	     94.0	    121.9
   2569.3	     94.0	    121.8
   2602.7	     94.0	    121.7
   2636.1	     94.1	    121.6
   2669.4	     94.2	    121.5
   2702.8	     94.2	    121.4
   2736.2	     94.3	    121.3
   2769.5	     94.4	    121.2
   2802.9	     94.6	    121.1
   2836.3	     94.7	    121.0
   2869.6	     94.8	    120.9
   2903.0	     94.8	    120.9
   2936.4	     94.9	    120.9
   2969.7	     94.8	    121.0
   3003.1	     94.7	    121.1
   3036.5	     94.6	    121.2
   3069.9	     94.5	    121.4
   3103.2	     94.3	    121.5
   3136.6	     94.2	    121.7
   3170.0	     94.1	    121.8
   3203.3	     94.0	    121.9
   3236.7	     94.0	    121.9
   3270.1	     94.0	    121.9
   3303.4	     94.1	    121.8
   3336.8	     94.3	    121.7
   3370.2	     94.5	    121.6
   3403.5	     94.7	    121.5
   3436.9	     94.9	    121.4
   3470.3	     95.1	    121.3
   3503.6	     95.3	    121.2
   3537.0	     95.5	    121.2
   3570.4	     95.6	    121.2
   3603.7	     95.7	    121.3
   3637.1	     95.8	    121.3
   3670.5	     95.8	    121.3
   3703.8	     95.9	    121.4
   3737.2	     95.9	    121.4
   3770.6	     95.9	    121.5
   3803.9	     95.9	    121.5
   3837.3	     95.9	    121.5
   3870.7	     95.9	    121.5
   3904.1	     96.0	    121.5
   3937.4	     96.0	    121.5
   3970.8	     96.0	    121.5
   4004.2	     96.0	    121.5
   4037.5	     96.0	    121.5
   4070.9	     96.0	    121.5
   4104.3	     96.0	    121.5
   4137.6	     96.0	    121.5
   4171.0	     96.0	    121.5
   4204.4	     96.0	    121.5
   4237.7	     96.0	    121.5
   4271.1	     96.0	    121.5
   4304.5	     96.0	    121.5
   4337.8	     95.9	    121.4
   4371.2	     95.9	    121.4
   4404.6	     95.8	    121.4
   4437.9	     95.8	    121.4
   4471.3	     95.7	    121.3
   4504.7	     95.6	    121.3
   4538.0	     95.5	    121.3
