,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
5357368.0,0,1,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,2,1,0,0,4,0,0,0,0,0,0
5357468.0,1,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0
5357568.0,0,1,1,0,2,0,0,0,3,4,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0
5357668.0,0,0,1,0,1,0,0,0,5,2,0,0,0,0,0,0,0,0,0,1,4,2,0,0,3,0,1,0,0,0,0
5357768.0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
5357868.0,0,1,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,0,0,0,0
5357968.0,0,0,0,0,1,0,1,0,4,3,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1,0,0,0,0
5358068.0,0,2,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,3,0,4,1,0,0,0,0,1,0,0,0,0
5358168.0,0,2,0,0,1,0,0,0,2,6,0,0,0,0,0,1,0,0,1,0,3,0,3,0,0,0,2,0,0,0,0
5358268.0,0,2,0,0,2,0,0,0,2,5,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
5358368.0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,1,0,0,2,0,2,3,0,0,1,0,0,0,0,0,0
5358468.0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,1,1,0,0,0,0
5358568.0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4,1,0,2,0,0,0,0,0,0
5358668.0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,0,3,2,0,0,2,1,0,0,0,0,0
5358768.0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0
5358868.0,0,2,0,0,1,0,0,0,2,3,0,0,0,0,1,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0
5358968.0,0,1,0,0,3,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0
5359068.0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
5359168.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
5359268.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0
5359368.0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0
5359468.0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
5359568.0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1,0,0,0,0
5359668.0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
5359768.0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,0,0,0,0,0,0
5359868.0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
5359968.0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0
5360068.0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0
5360168.0,0,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
5360268.0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,0,2,0,0,0,0
5360368.0,0,0,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,2,2,2,4,0,0,0,0,0,0,0,0,0
5360468.0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
5360568.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3,2,0,0,2,0,1,0,0,0,0
5360668.0,0,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,4,2,0,0,1,0,0,0,0,0,0
5360768.0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,0,1,0,0,0,0
5360868.0,0,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,3,1,2,3,0,0,1,0,4,0,0,0,0
5360968.0,1,1,0,1,1,0,0,0,3,6,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,1,0,0,0,0
5361068.0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0
5361168.0,0,0,1,1,1,0,2,0,2,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0
5361268.0,0,0,0,0,6,0,1,0,3,2,0,0,0,0,0,0,0,2,2,0,2,1,0,0,0,0,2,0,0,0,0
5361368.0,0,0,0,0,1,0,1,0,1,5,0,0,0,0,0,0,0,0,1,0,5,2,1,0,0,0,0,0,0,0,0
5361468.0,0,0,0,0,1,0,2,0,2,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0
5361568.0,0,0,0,0,3,0,0,0,5,3,0,0,0,0,1,0,0,1,0,1,5,3,4,0,3,0,2,0,0,0,0
5361668.0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0
5361768.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
5361868.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,3,2,0,0,0,0,0,0,0,0
5361968.0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0
5362068.0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
5362168.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
5362268.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
5362368.0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
5362468.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0
5362568.0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,2,1,1,0,0,2,0,0,0,0,0,0
5362668.0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
5362768.0,0,2,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,1,2,0,0,1,0,1,0,0,0,0
5362868.0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,1,0,0,0,0
5362968.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
5363068.0,0,3,0,0,2,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0
5363168.0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0
5363268.0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0
5363368.0,0,2,0,0,1,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0
5363468.0,1,2,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0
5363568.0,0,2,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,1,0,0,0,0
5363668.0,0,1,3,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,1,3,2,0,0,0,0,1,0,0,0,0
5363768.0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,2,0,0,0,0
5363868.0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0,0,0,0,0,0
5363968.0,1,2,2,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,4,3,0,0,2,0,1,0,0,0,0
5364068.0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0
5364168.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
5364268.0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,1,0,0,0,0
5364368.0,0,0,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
5364468.0,0,1,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,1,0,0,0,0
5364568.0,0,1,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,3,0,0,0,0
5364668.0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,1,0,0,0,0
5364768.0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
5364868.0,0,2,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0
5364968.0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0
5365068.0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,3,4,0,0,0,0,1,0,0,0,0
5365168.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,4,0,0,0,0
5365268.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0
5365368.0,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0
